accession	AMP_vs_Beads_str	AMP_vs_Beads_unst	AMP_vs_K57A_str	AMP_vs_K57A_unst	K57A_vs_Beads_str	K57A_vs_Beads_unst
A0AVT1	0	0	0	0	1	1
A0AVF1	0	1	0	0	0	1
A0FGR8	0	0	0	0	1	0
A0MZ66	0	0	0	0	0	1
A1L0T0	1	1	1	1	0	1
A1L390	1	0	1	0	0	0
A2A3N6	0	0	0	0	1	0
A2RUC4	1	0	1	1	0	0
A4D1E9	0	0	0	0	1	0
A4FU69	1	1	1	1	1	0
A6NCE7;Q9GZQ8	1	0	1	0	0	1
A6NDG6	0	0	0	0	0	0
A6NHL2	0	1	1	1	0	1
A6NHR9	1	0	0	0	1	1
A6NIR3;Q8TF27	0	0	0	0	0	0
A6NIZ1	1	1	1	1	0	1
A6NKD9	1	1	0	1	1	1
A6ZKI3	0	1	0	0	0	1
A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5;Q9NQA3	1	1	0	0	1	1
A8K2U0	0	0	0	0	1	1
A8MWD9;P62308	0	0	0	0	1	0
E9PAV3;Q13765	0	0	0	0	0	0
E9PRG8	0	0	1	0	0	0
L0R6Q1	0	0	0	1	0	0
L0R8F8	0	0	0	0	0	0
O00116	1	1	1	1	0	1
O00139	0	0	0	0	0	0
O00148	1	1	1	1	0	1
O00154	1	1	1	0	0	1
O00165	0	0	0	0	1	1
O00170	1	1	1	1	0	1
O00178	0	0	0	0	0	0
O00186	1	1	1	1	0	0
O00193	1	1	1	0	1	1
O00203	1	1	1	1	0	0
O00204	0	0	0	0	0	0
O00217	1	1	1	1	0	0
O00264	1	1	1	1	0	1
O00267	1	0	1	0	1	0
O00273	1	0	1	0	0	0
O00299	0	1	1	1	0	1
O00411	1	0	1	1	1	0
O00423	1	1	1	0	1	1
O00425	0	0	1	0	0	0
O00429	1	0	1	1	0	0
O00442	0	0	0	0	0	0
O00469	1	1	1	1	0	1
O00483	1	0	1	1	0	0
O00488	0	0	0	0	0	0
O00505	0	1	1	1	0	1
O00541	0	0	0	1	0	0
O00560	1	0	1	1	1	0
O00566	0	0	1	0	0	0
O00567	0	0	0	0	0	0
O00571	0	0	0	0	0	0
O00584	0	1	1	0	0	1
O00625	1	1	0	1	1	1
O00629	1	1	1	1	0	1
O00712	0	0	0	0	0	0
O00716	0	1	0	0	1	1
O00746	0	0	0	0	0	0
O00754	1	0	1	0	1	0
O00764	0	0	0	0	1	1
O14497	0	0	1	0	0	0
O14519	0	0	0	0	0	0
O14530	1	1	1	1	0	1
O14617	1	0	1	0	0	0
O14639	0	0	0	1	0	0
O14656	0	0	0	0	0	0
O14686	1	0	1	0	1	1
O14709	0	0	0	0	0	1
O14734	0	0	0	1	1	0
O14737	0	1	0	1	0	0
O14745	1	0	1	0	1	1
O14773	1	1	1	1	0	1
O14776	0	0	1	0	0	0
O14787	0	1	1	1	0	1
O14802	0	0	1	0	0	0
O14874	1	1	0	1	1	1
O14880	0	1	1	1	0	1
O14893	0	0	0	0	0	0
O14936	0	1	1	1	0	1
O14967	1	1	1	0	1	1
O14974	1	1	1	0	1	1
O14976	0	1	0	0	1	1
O14979	0	0	1	0	0	0
O14981	0	1	0	0	0	1
O15014	0	1	0	0	1	1
O15020	1	1	1	0	1	1
O15027	1	1	0	1	1	1
O15067	0	0	1	1	0	0
O15075	1	1	1	1	1	0
O15084	1	1	1	1	0	0
O15085	0	0	0	0	0	0
O15116	1	1	0	0	1	1
O15145	1	0	1	0	1	0
O15160	1	1	0	0	1	1
O15173	1	1	1	1	0	1
O15226	0	0	0	0	0	0
O15235	0	0	0	1	0	0
O15344	1	0	1	1	0	0
O15347	0	0	0	0	0	0
O15355	1	1	1	1	0	1
O15391;P25490	0	1	0	0	0	1
O15397	0	0	0	0	0	0
O15446	0	1	0	0	0	1
O15514	1	1	1	1	0	0
O15541	0	0	1	0	0	0
O43143	0	0	0	0	0	0
O43148	1	0	0	0	1	1
O43156	0	1	0	1	1	1
O43169	1	1	1	1	0	1
O43172	0	0	0	0	0	0
O43290	0	0	0	0	0	0
O43324	1	0	1	1	0	0
O43390	0	0	0	0	0	0
O43395	1	0	1	0	1	0
O43396	1	1	0	1	1	1
O43422	0	0	0	0	0	0
O43432	0	0	0	1	0	0
O43447	0	0	0	0	1	0
O43464	0	1	0	1	0	0
O43504	1	1	1	1	0	1
O43491	1	0	1	1	0	0
O43524	0	1	0	0	0	1
O43567	1	1	0	0	1	1
O43598	0	1	1	1	0	1
O43615	0	1	1	1	0	0
O43660	1	0	0	0	1	1
O43663	1	0	1	1	0	0
