UniprotID	logFC	AveExpr	t	P.Value	adj.P.Val	B	PG.Genes	PG.ProteinDescriptions	contrast
Q15375;Q5JZY3	5.00634418309666	17.0616332807268	26.7745179439831	9.67934014973196e-14	1.78521720233178e-10	21.2565210938053	EPHA7;EPHA10	Ephrin type-A receptor 7;Ephrin type-A receptor 10	AMP_vs_Beads_unst
Q9Y606	4.48136586688241	16.0137524517178	26.5161576690596	1.1109005615008e-13	1.78521720233178e-10	21.1421566612335	PUS1	tRNA pseudouridine synthase A	AMP_vs_Beads_unst
P35268	3.26374476697257	17.6457564813976	23.7630297471868	5.25356275493486e-13	4.97960556642148e-10	19.8204276962355	RPL22	60S ribosomal protein L22	AMP_vs_Beads_unst
Q9P016	4.01063201108371	15.5778274576983	23.1925887027669	7.40585834457145e-13	4.97960556642148e-10	19.5208708573841	THYN1	Thymocyte nuclear protein 1	AMP_vs_Beads_unst
P12074	12.4843004459203	10.150012485075	23.1188003818296	7.74674170258476e-13	4.97960556642148e-10	19.4814222435654	COX6A1	Cytochrome c oxidase subunit 6A1, mitochondrial	AMP_vs_Beads_unst
Q96FX7	3.38391466031918	15.2241893654133	21.8061047080586	1.76631049171536e-12	7.97454811682066e-10	18.751442058659	TRMT61A	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A	AMP_vs_Beads_unst
Q08J23	4.30220281401493	15.7975774887926	21.6997085594559	1.89219723114874e-12	7.97454811682066e-10	18.6898446228325	NSUN2	RNA cytosine C(5)-methyltransferase NSUN2	AMP_vs_Beads_unst
Q9UKD2	3.43314939551468	15.9355049237885	21.6260388705128	1.98495286044074e-12	7.97454811682066e-10	18.646971849158	MRTO4	mRNA turnover protein 4 homolog	AMP_vs_Beads_unst
P51116	4.07473601227748	16.5380329036745	21.0392403759379	2.92228905993985e-12	1.04358189318297e-09	18.2988535745849	FXR2	Fragile X mental retardation syndrome-related protein 2	AMP_vs_Beads_unst
Q7Z2T5	3.59364211372448	15.2021839906547	20.6432400417847	3.81583085336885e-12	1.22640803627275e-09	18.0570793673512	TRMT1L	TRMT1-like protein	AMP_vs_Beads_unst
P62861	2.97958037147658	17.1105748346797	20.0460739648274	5.75861622390363e-12	1.67232091989203e-09	17.6815877468781	FAU	40S ribosomal protein S30	AMP_vs_Beads_unst
Q8N4V1	3.04967560830655	13.9644614289437	19.930593260086	6.24388644639214e-12	1.67232091989203e-09	17.6074151354076	MMGT1	ER membrane protein complex subunit 5	AMP_vs_Beads_unst
Q96PZ0	4.37442522783131	14.5473629125586	19.5519915090408	8.16579888061242e-12	2.01883673863756e-09	17.3605855130439	PUS7	Pseudouridylate synthase 7 homolog	AMP_vs_Beads_unst
P08708	3.21999895284777	16.9083630256428	18.8568683837004	1.35379848078084e-11	2.92724263284444e-09	16.8923037183238	RPS17	40S ribosomal protein S17	AMP_vs_Beads_unst
Q8N1G4	4.91866842416374	14.7539599377946	18.8445749749379	1.36616799914955e-11	2.92724263284444e-09	16.8838405343852	LRRC47	Leucine-rich repeat-containing protein 47	AMP_vs_Beads_unst
P42696	2.72069031076797	15.0837186125673	18.6043989009017	1.6336515903703e-11	2.99491098675644e-09	16.7171942343794	RBM34	RNA-binding protein 34	AMP_vs_Beads_unst
Q06330	2.64733326107093	15.8073612143906	18.4999736467762	1.76690234531767e-11	2.99491098675644e-09	16.6439582599385	RBPJ	Recombining binding protein suppressor of hairless	AMP_vs_Beads_unst
Q9UBP6	3.76607109997804	16.5643051316406	18.4737218133212	1.80219265572758e-11	2.99491098675644e-09	16.6254719826296	METTL1	tRNA (guanine-N(7)-)-methyltransferase	AMP_vs_Beads_unst
P61247	2.96306819465408	18.4785699783758	18.435439959881	1.85500851235459e-11	2.99491098675644e-09	16.5984598374975	RPS3A	40S ribosomal protein S3a	AMP_vs_Beads_unst
Q9BQ75	3.12967990629574	15.5192240894077	18.4292759957965	1.86366582872212e-11	2.99491098675644e-09	16.5941044179959	CMSS1	Protein CMSS1	AMP_vs_Beads_unst
Q12906	3.76973682683147	17.9737916108081	18.2036690671601	2.21214165101809e-11	3.38563012684388e-09	16.4335276345987	ILF3	Interleukin enhancer-binding factor 3	AMP_vs_Beads_unst
O95793	3.58642355258107	16.8006992643206	17.9408777485384	2.70774160813852e-11	3.95576433116236e-09	16.24358378016	STAU1	Double-stranded RNA-binding protein Staufen homolog 1	AMP_vs_Beads_unst
Q7L2E3	2.96914913650037	17.4166163585967	17.686047316635	3.30276977579978e-11	4.61526176496543e-09	16.0563445236304	DHX30	ATP-dependent RNA helicase DHX30	AMP_vs_Beads_unst
Q99714	1.91875689081099	17.9063159013792	17.6041652582245	3.52241988421323e-11	4.71710729494221e-09	15.9955316533549	HSD17B10	3-hydroxyacyl-CoA dehydrogenase type-2	AMP_vs_Beads_unst
Q7Z2W4	2.98242506877949	15.0188200175016	17.5018357315071	3.8190451472321e-11	4.90976444128159e-09	15.9190827809604	ZC3HAV1	Zinc finger CCCH-type antiviral protein 1	AMP_vs_Beads_unst
Q9BQ67	2.83329722205992	17.9480575610861	17.4455081409897	3.99359024837024e-11	4.93669194548537e-09	15.8767863835633	GRWD1	Glutamate-rich WD repeat-containing protein 1	AMP_vs_Beads_unst
Q96SB4	2.87471773441491	15.353220316642	17.3354267531624	4.35973532315556e-11	5.18969975134147e-09	15.7936820762752	SRPK1	SRSF protein kinase 1	AMP_vs_Beads_unst
P34932	-2.10950390722064	16.930925581268	-16.9823891351962	5.79623897001441e-11	6.65325430343797e-09	15.52313211357	HSPA4	Heat shock 70 kDa protein 4	AMP_vs_Beads_unst
P49207	3.99851916064307	15.8837836128845	16.9066861883493	6.16557398596714e-11	6.83315682444772e-09	15.4643036738609	RPL34	60S ribosomal protein L34	AMP_vs_Beads_unst
Q8N999	9.83066988778662	22.5925685860413	17.1350141064398	6.59933825449735e-11	7.07009104998482e-09	15.4023440626686	C12orf29	Uncharacterized protein C12orf29	AMP_vs_Beads_unst
Q7L0Y3	2.11578622993025	16.7225798012473	16.3907087728109	9.45766198482362e-11	9.80545987716875e-09	15.0554537540238	TRMT10C	tRNA methyltransferase 10 homolog C	AMP_vs_Beads_unst
Q06787	3.63347124628514	14.4265570532631	16.3297060211528	9.95636378468091e-11	9.99992287623888e-09	15.0061880078139	FMR1	Synaptic functional regulator FMR1	AMP_vs_Beads_unst
P82930	2.60064889875443	17.868174046263	16.1758595641294	1.13427775337587e-10	1.10471778768183e-08	14.8810491452946	MRPS34	28S ribosomal protein S34, mitochondrial	AMP_vs_Beads_unst
Q92499	2.39433442034328	18.4818314980542	16.0990671499245	1.21105139263304e-10	1.14479975762429e-08	14.8181032377684	DDX1	ATP-dependent RNA helicase DDX1	AMP_vs_Beads_unst
Q12905	3.75538028149744	18.1654487957455	15.9847451545587	1.33577566472616e-10	1.22662371040853e-08	14.7237923057185	ILF2	Interleukin enhancer-binding factor 2	AMP_vs_Beads_unst
O76021	3.44921026742715	16.2426289819746	15.8063651192814	1.55850546182354e-10	1.39139904286135e-08	14.5751788721781	RSL1D1	Ribosomal L1 domain-containing protein 1	AMP_vs_Beads_unst
Q7Z6Z7	-1.94312935633621	15.5030334526425	-15.6975551629813	1.71354761809339e-10	1.48847082285193e-08	14.483642419581	HUWE1	E3 ubiquitin-protein ligase HUWE1	AMP_vs_Beads_unst
O95232	2.34684847965659	15.7483416999622	15.609164115799	1.85158483041305e-10	1.56605095919672e-08	14.4087842216356	LUC7L3	Luc7-like protein 3	AMP_vs_Beads_unst
Q9H2U1	2.3909752496361	15.607131088554	15.4294744526042	2.17007140247047e-10	1.78836140706156e-08	14.2552084691228	DHX36	ATP-dependent DNA/RNA helicase DHX36	AMP_vs_Beads_unst
Q9Y2W2	3.72933176256347	14.9332172319571	15.2133145387392	2.632390956167e-10	2.11512613328019e-08	14.0679405509813	WBP11	WW domain-binding protein 11	AMP_vs_Beads_unst
Q9P258	2.79335570573883	19.2043411491096	15.1008478056107	2.91347441750786e-10	2.28387970191958e-08	13.9693979566475	RCC2	Protein RCC2	AMP_vs_Beads_unst
Q9NQ29	2.74966376216965	16.9688796133199	14.9470986591969	3.35057222448237e-10	2.56398550702055e-08	13.8334364869737	LUC7L	Putative RNA-binding protein Luc7-like 1	AMP_vs_Beads_unst
Q14498	2.96533567071931	16.4209521738998	14.7947926722827	3.85305228390225e-10	2.87993256754926e-08	13.6973100355552	RBM39	RNA-binding protein 39	AMP_vs_Beads_unst
P62263	2.63849795300517	16.8927831814736	14.7576738461965	3.98729625180409e-10	2.91253867120417e-08	13.6639144037123	RPS14	40S ribosomal protein S14	AMP_vs_Beads_unst
Q9NXH9	3.65357368640549	15.032369532153	14.6062323322564	4.58886978016553e-10	3.03700425699823e-08	13.5267593406137	TRMT1	tRNA (guanine(26)-N(2))-dimethyltransferase	AMP_vs_Beads_unst
P78362	2.46780592076023	14.8417670619931	14.6052612097025	4.59302563473144e-10	3.03700425699823e-08	13.5258751146697	SRPK2	SRSF protein kinase 2	AMP_vs_Beads_unst
P37108	1.72161234565677	16.7507603251641	14.6020900689817	4.60662425178875e-10	3.03700425699823e-08	13.5229873087044	SRP14	Signal recognition particle 14 kDa protein	AMP_vs_Beads_unst
Q9UN81	3.24134283344663	13.9131240592008	14.6005412843892	4.61328138880995e-10	3.03700425699823e-08	13.5215766705568	L1RE1	LINE-1 retrotransposable element ORF1 protein	AMP_vs_Beads_unst
P62888	3.27121968171218	17.8693097726039	14.59662607588	4.63015583674279e-10	3.03700425699823e-08	13.5180100000694	RPL30	60S ribosomal protein L30	AMP_vs_Beads_unst
Q00577	3.33644781312443	16.3321541711423	14.4559193521169	5.28240776570890e-10	3.39553171179768e-08	13.3891737467592	PURA	Transcriptional activator protein Pur-alpha	AMP_vs_Beads_unst
Q9Y676	2.70929012316434	14.9365019584963	14.4224116148602	5.45172948643867e-10	3.43565854302233e-08	13.3583036309881	MRPS18B	28S ribosomal protein S18b, mitochondrial	AMP_vs_Beads_unst
Q9NSD9	4.99244641074611	15.7352044725128	14.4653198311887	5.81749689338179e-10	3.47251958765727e-08	13.299549687888	FARSB	Phenylalanine--tRNA ligase beta subunit	AMP_vs_Beads_unst
P25398	2.58253143619972	19.207027646273	14.3518549872715	5.82745283351822e-10	3.47251958765727e-08	13.2930609846882	RPS12	40S ribosomal protein S12	AMP_vs_Beads_unst
Q4G0J3	3.62284225041292	14.0415694799587	14.3492075563177	5.84207666389316e-10	3.47251958765727e-08	13.2906065866576	LARP7	La-related protein 7	AMP_vs_Beads_unst
Q9BX40	3.40784927532557	14.8189466345	14.3312344215838	5.94239506288581e-10	3.47251958765727e-08	13.2739317337409	LSM14B	Protein LSM14 homolog B	AMP_vs_Beads_unst
