PG.ProteinGroups,PG.ProteinAccessions,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.FastaFiles,PG.Qvalue,PG.Cscore,Q2305_FS_230428_NoRNA_str_AMP_1_052.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_AMP_2_055.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_AMP_3_058.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_Beads_1_031.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_Beads_2_034.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_Beads_3_038.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_K57A_1_041.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_K57A_2_044.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_K57A_3_048.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_AMP_1_021.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_AMP_2_024.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_AMP_3_028.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_Beads_1_002.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_Beads_2_005.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_Beads_3_008.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_K57A_1_011.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_K57A_2_015.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_K57A_3_018.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_AMP_1_052.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_AMP_2_055.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_AMP_3_058.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_Beads_1_031.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_Beads_2_034.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_Beads_3_038.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_K57A_1_041.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_K57A_2_044.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_K57A_3_048.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_AMP_1_021.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_AMP_2_024.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_AMP_3_028.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_Beads_1_002.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_Beads_2_005.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_Beads_3_008.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_K57A_1_011.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_K57A_2_015.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_K57A_3_018.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_AMP_1_052.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_AMP_2_055.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_AMP_3_058.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_Beads_1_031.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_Beads_2_034.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_Beads_3_038.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_K57A_1_041.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_K57A_2_044.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_K57A_3_048.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_AMP_1_021.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_AMP_2_024.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_AMP_3_028.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_Beads_1_002.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_Beads_2_005.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_Beads_3_008.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_K57A_1_011.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_K57A_2_015.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_K57A_3_018.raw.PG.Quantity
A0AVF1,A0AVF1,TTC26,Intraflagellar transport protein 56,A0AVF1,IFT56_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,51.961525,1,0,0,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5979.69921875,NaN,NaN,2074.752685546875,1783.2642822265625,2285.49755859375,5314.7119140625,4541.99560546875,2380.221923828125,8247.537109375,9489.4990234375,7511.20556640625,7033.1904296875,7079.91650390625,6022.80615234375,5567.27197265625,5153.29345703125,6577.40869140625
A0AVT1,A0AVT1,UBA6,Ubiquitin-like modifier-activating enzyme 6,A0AVT1,UBA6_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0.0006618133686300463,39.29822,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,613.5809326171875,6572.89208984375,NaN,NaN,NaN,NaN,NaN,NaN,14997.322265625,NaN,NaN
A0FGR8,A0FGR8,ESYT2,Extended synaptotagmin-2,A0FGR8,ESYT2_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,50.074673,2,2,2,4,3,3,2,3,3,2,2,3,4,4,4,3,3,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18258.560546875,15748.3662109375,14729.25,11436.232421875,9687.251953125,10015.21875,10091.447265625,8094.6357421875,11190.6826171875,36835.25390625,27850.158203125,30199,7738.583984375,11869.64453125,8775.07421875,23494.98828125,17914.80078125,23712.2890625
A0MZ66,A0MZ66,SHTN1,Shootin-1,A0MZ66,SHOT1_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,44.626465,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,NaN,NaN,NaN,3702.688720703125,4180.1044921875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13404.6943359375,43835.0390625,3734.5849609375,NaN,3041.84814453125,NaN
A1L0T0,A1L0T0,ILVBL,2-hydroxyacyl-CoA lyase 2,A1L0T0,HACL2_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,44.533623,0,3,1,1,2,1,2,2,2,1,1,2,1,2,2,2,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NaN,8995.5830078125,19911.865234375,11893.83203125,11658.978515625,7762.513671875,10650.0546875,10218.75390625,17170.640625,3717.2392578125,5762.32177734375,7590.62548828125,14192.8740234375,10809.287109375,16811.83984375,12250.8134765625,8688.6337890625,8142.6005859375
A1L390,A1L390,PLEKHG3,Pleckstrin homology domain-containing family G member 3,A1L390,PKHG3_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,44.865177,1,2,1,4,5,5,5,5,5,0,0,0,2,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2601.163818359375,5013.384765625,4410.4130859375,3104.56298828125,4030.79833984375,3383.81298828125,6121.8857421875,6170.169921875,4055.564697265625,NaN,NaN,NaN,981.6902465820312,NaN,NaN,NaN,NaN,NaN
A2A3N6,A2A3N6,PIPSL,Putative PIP5K1A and PSMD4-like protein,A2A3N6,PIPSL_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,51.99617,2,3,2,2,4,4,5,5,4,4,4,3,4,4,4,5,4,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,28547.626953125,16236.58984375,28138.99609375,19619.21484375,13742.5908203125,11936.16796875,18453.90234375,16347.0673828125,13944.3955078125,51367.30859375,55659.62109375,29501.3203125,15048.8984375,15970.7021484375,12681.9814453125,17827.83203125,22930.54296875,19252.388671875
A2RUC4,A2RUC4,TYW5,tRNA wybutosine-synthesizing protein 5,A2RUC4,TYW5_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,44.885483,0,0,1,0,0,0,0,4,3,2,2,5,0,0,0,11,10,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NaN,NaN,17151.40234375,NaN,NaN,NaN,NaN,11372.474609375,19236.9375,25683.609375,22661.080078125,33607.96875,NaN,NaN,NaN,105882.3828125,144743.859375,92942.8515625
A4D1E9,A4D1E9,GTPBP10,GTP-binding protein 10,A4D1E9,GTPBA_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,46.769375,4,2,4,2,2,1,3,5,5,7,7,6,1,0,2,6,5,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,489851.0625,284994.09375,428673.6875,499936.71875,68672.140625,52853.1484375,118717.8359375,86432.859375,117304.7421875,629674.0625,1091711.625,493215,67274.5234375,NaN,45565.203125,196146.46875,161590.625,145670.15625
A4D1P6,A4D1P6,WDR91,WD repeat-containing protein 91,A4D1P6,WDR91_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0.0034385745545482964,36.330273,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,NaN,NaN,4515.68701171875,7154.03173828125,4792.05810546875,4639.625,1402.2071533203125,2063.1416015625,2668.638916015625,NaN,NaN,785.697509765625,6567.81591796875,6365.3466796875,8598.5390625,2452.64208984375,2109.21435546875,2918.31201171875
A4FU69,A4FU69,EFCAB5,EF-hand calcium-binding domain-containing protein 5,A4FU69,EFCB5_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,50.642635,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,50768.2890625,35252.94140625,66088.8671875,75098.1328125,86497.1640625,83429.5,55180.46484375,66659.265625,90192.7734375,81199.09375,93203.359375,75471.890625,89169.921875,86975.0234375,95621.484375,111589.078125,124418.859375,84333.0078125
A5YKK6,A5YKK6,CNOT1,CCR4-NOT transcription complex subunit 1,A5YKK6,CNOT1_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,45.12084,2,3,4,4,4,5,6,7,6,3,3,6,5,4,5,5,5,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3600.83984375,4717.8876953125,9201.7021484375,6577.640625,8726.2734375,8012.75634765625,7963.34423828125,5694.2392578125,11423.708984375,5923.560546875,6909.7783203125,7790.2021484375,9105.9150390625,4618.9130859375,7619.22314453125,8784.833984375,4451.0498046875,5362.14501953125
A6NCE7;Q9GZQ8,A6NCE7;Q9GZQ8,MAP1LC3B2;MAP1LC3B,Microtubule-associated proteins 1A/1B light chain 3 beta 2;Microtubule-associated proteins 1A/1B light chain 3B,A6NCE7;Q9GZQ8,MP3B2_HUMAN;MLP3B_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0.002531645569620253,36.996532,1,1,1,1,2,1,2,2,2,2,1,1,2,1,1,2,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8423.1123046875,8217.8525390625,51453.1953125,14971.64453125,32833.37890625,19332.50390625,28816.8203125,26017.271484375,41113.79296875,28498.810546875,34135.54296875,21008.40625,21329.91796875,18936.205078125,16464.955078125,26923.001953125,11966.8125,16410.10546875
A6NDG6,A6NDG6,PGP,Glycerol-3-phosphate phosphatase,A6NDG6,PGP_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,45.03666,1,0,0,1,2,1,2,4,4,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,840.9608764648438,NaN,NaN,1185.7330322265625,1330.8280029296875,2382.4189453125,5371.80712890625,3350.69384765625,4767.384765625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A6NHL2,A6NHL2,TUBAL3,Tubulin alpha chain-like 3,A6NHL2,TBAL3_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,49.74789,0,0,1,1,2,1,2,2,3,0,0,1,1,1,1,3,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NaN,NaN,15444.919921875,10452.24609375,22359.955078125,11217.6240234375,34644.78515625,21568.69140625,20036.689453125,NaN,NaN,4890.85009765625,30526.611328125,28538.005859375,31863.970703125,8656.66796875,8943.1787109375,7658.28564453125
A6NHR9,A6NHR9,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,A6NHR9,SMHD1_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,41.786842,1,0,1,0,4,1,1,2,4,5,6,5,4,4,4,6,6,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14903.6572265625,NaN,14678.9384765625,NaN,8655.6748046875,15529.5732421875,10585.1728515625,8933.1474609375,7639.67626953125,18477.99609375,22592.0859375,14484.30078125,10823.658203125,9220.8740234375,7727.7099609375,10841.8330078125,10929.4970703125,7438.34130859375
A6NIR3;Q8TF27,A6NIR3;Q8TF27,AGAP5;AGAP11,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 5;Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 11",A6NIR3;Q8TF27,AGAP5_HUMAN;AGA11_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,40.1195,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11996.0927734375,12285.9697265625,10530.9443359375,NaN,4395.6142578125,1827.6588134765625,9401.9912109375,7327.11474609375,6640.6845703125,43179.16015625,46936.0078125,29727.388671875,4488.9775390625,3670.3173828125,4009.701171875,15203.1923828125,10659.25390625,16082.1748046875
A6NIZ1,A6NIZ1,,Ras-related protein Rap-1b-like protein,A6NIZ1,RP1BL_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,41.57303,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,NaN,NaN,NaN,6800.08203125,9746.94921875,9625.5927734375,12542.7685546875,6871.8916015625,16399.89453125,NaN,1346.755126953125,5525.7431640625,5670.58740234375,7867.68310546875,7001.85009765625,7435.12744140625,3613.046630859375,4626.13818359375
A6NKD9,A6NKD9,CCDC85C,Coiled-coil domain-containing protein 85C,A6NKD9,CC85C_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,47.54678,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,NaN,10282.953125,NaN,4152.49951171875,NaN,NaN,2225.59912109375,2314.75439453125,1923.064453125,949.6153564453125,NaN,958.6358642578125,4053.344970703125,5588.888671875,4333.3251953125,4016.447998046875,3515.744873046875,2370.444091796875
A6ZKI3,A6ZKI3,RTL8C,Retrotransposon Gag-like protein 8C,A6ZKI3,RTL8C_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0.0016020506247997437,37.555527,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,24698.751953125,25243.78515625,42415.66015625,15547.1826171875,17060.916015625,22080.83203125,18848.357421875,16417.568359375,36006.61328125,19582.130859375,25566.494140625,21434.716796875,18236.783203125,15407.748046875,20239.07421875,23473.87109375,15981.5810546875,16305.0380859375
